"prob.shore","prob.ship","prob.est","nstops","prob.surv","onshore","onship","containers","shore","shorestopM","shorestopSD","rmshoreS","rmshoreM","rmshoreSD","transferS","transferM","transferSD","rmtransS","rmtransM","rmtransSD","dierouteS","dierouteM","dierouteSD","establishS","establishM","establishSD"
0.9,0,0.9,1,0.9,0.2,0,100,84,0.84,0.368452949177472,10,0.0999999999999999,0.301511344577764,0,0,0,0,0,0,100,1,0,52,0.52,0.502116731568678
1,0,0.9,1,0.9,0.2,0,100,91,0.91,0.287623491264661,20,0.2,0.402015126103685,0,0,0,0,0,0,100,1,0,49,0.49,0.502418393795691
0,0,0.9,2,0.9,0.2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.9,2,0.9,0.2,0,100,15,0.24,0.605029425780768,3,0.03,0.171446607997765,0,0,0,0,0,0,112,1.12,0.32659863237109,7,0.07,0.256432399976243
0.2,0,0.9,2,0.9,0.2,0,100,32,0.419999999999999,0.669388383586695,7,0.07,0.256432399976243,0,0,0,0,0,0,108,1.08,0.272659924344291,20,0.2,0.402015126103685
0.3,0,0.9,2,0.9,0.2,0,100,53,0.77,0.81470078785857,9,0.09,0.287623491264661,0,0,0,0,0,0,110,1.1,0.301511344577764,30,0.3,0.460566186471838
0.4,0,0.9,2,0.9,0.2,0,100,52,0.689999999999999,0.747993950172693,5,0.05,0.21904291355759,0,0,0,0,0,0,112,1.12,0.32659863237109,38,0.38,0.487831731214564
0.5,0,0.9,2,0.9,0.2,0,100,70,0.919999999999999,0.720269309902816,8,0.08,0.272659924344291,0,0,0,0,0,0,109,1.09,0.287623491264662,39,0.39,0.490207130000197
0.6,0,0.9,2,0.9,0.2,0,100,72,0.91,0.683056115239191,10,0.1,0.301511344577763,0,0,0,0,0,0,111,1.11,0.31446603773522,44,0.44,0.498887651569859
0.7,0,0.9,2,0.9,0.2,0,100,79,1,0.65133894727893,15,0.15,0.358870281282637,0,0,0,0,0,0,103,1.03,0.171446607997765,44,0.44,0.498887651569859
0.8,0,0.9,2,0.9,0.2,0,100,86,0.959999999999999,0.490721999515082,12,0.12,0.326598632371091,0,0,0,0,0,0,102,1.02,0.14070529413629,54,0.54,0.500908265962033
0.9,0,0.9,2,0.9,0.2,0,100,91,1.01,0.437970526198033,9,0.0900000000000001,0.287623491264661,0,0,0,0,0,0,101,1.01,0.1,62,0.62,0.487831731214563
1,0,0.9,2,0.9,0.2,0,100,92,0.92,0.272659924344291,11,0.11,0.31446603773522,0,0,0,0,0,0,100,1,0,62,0.62,0.487831731214563
0,0,0.9,3,0.9,0.2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.9,3,0.9,0.2,0,100,21,0.41,0.877266185143346,3,0.03,0.171446607997765,0,0,0,0,0,0,123,1.23,0.529054808029366,14,0.14,0.348735088019777
0.2,0,0.9,3,0.9,0.2,0,100,47,0.779999999999999,0.980414260000394,11,0.11,0.31446603773522,0,0,0,0,0,0,112,1.12,0.43298354180586,31,0.31,0.464823198711732
0.3,0,0.9,3,0.9,0.2,0,100,59,0.939999999999999,0.982883821242676,11,0.11,0.31446603773522,0,0,0,0,0,0,118,1.18,0.50010099990003,36,0.36,0.482418151324422
0.4,0,0.9,3,0.9,0.2,0,100,60,0.93,0.94553709818304,10,0.1,0.301511344577764,0,0,0,0,0,0,117,1.17,0.427702341505507,36,0.36,0.482418151324422
0.5,0,0.9,3,0.9,0.2,0,100,77,1.18,0.914308260905257,16,0.16,0.368452949177471,0,0,0,0,0,0,114,1.14,0.449915817041635,49,0.49,0.502418393795691
0.6,0,0.9,3,0.9,0.2,0,100,75,0.970000000000001,0.731057073315378,9,0.09,0.287623491264661,0,0,0,0,0,0,108,1.08,0.272659924344291,52,0.52,0.502116731568678
0.7,0,0.9,3,0.9,0.2,0,100,81,1.07,0.728288432150367,7,0.07,0.256432399976243,0,0,0,0,0,0,106,1.06,0.238683256575942,49,0.49,0.502418393795691
0.8,0,0.9,3,0.9,0.2,0,100,83,0.95,0.592461054424762,10,0.1,0.301511344577763,0,0,0,0,0,0,107,1.07,0.293188669562103,56,0.56,0.498887651569859
0.9,0,0.9,3,0.9,0.2,0,100,80,0.85,0.499999999999999,22,0.22,0.416333199893227,0,0,0,0,0,0,103,1.03,0.171446607997765,44,0.44,0.498887651569859
1,0,0.9,3,0.9,0.2,0,100,85,0.85,0.358870281282636,15,0.15,0.358870281282637,0,0,0,0,0,0,100,1,0,56,0.56,0.498887651569859
0,0,0.9,4,0.9,0.2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.9,4,0.9,0.2,0,100,27,0.660000000000001,1.22449742318795,7,0.07,0.256432399976243,0,0,0,0,0,0,147,1.47,0.858175184018185,12,0.12,0.32659863237109
0.2,0,0.9,4,0.9,0.2,0,100,48,0.970000000000001,1.24279743101821,2,0.02,0.14070529413629,0,0,0,0,0,0,131,1.31,0.691872003109584,30,0.3,0.460566186471838
0.3,0,0.9,4,0.9,0.2,0,100,54,0.86,0.984937058954028,9,0.0900000000000001,0.287623491264661,0,0,0,0,0,0,124,1.24,0.668482375884875,33,0.33,0.472581562625261
0.4,0,0.9,4,0.9,0.2,0,100,80,1.49,1.18487948498545,14,0.14,0.348735088019777,0,0,0,0,0,0,135,1.35,0.78334945180064,47,0.47,0.501613558046592
0.5,0,0.9,4,0.9,0.2,0,100,72,1.26,1.13368978351775,11,0.11,0.31446603773522,0,0,0,0,0,0,122,1.22,0.542720420239974,44,0.44,0.498887651569859
0.6,0,0.9,4,0.9,0.2,0,100,87,1.28,0.853749898324379,12,0.12,0.326598632371091,0,0,0,0,0,0,108,1.08,0.307482445914323,55,0.55,0.5
0.7,0,0.9,4,0.9,0.2,0,100,83,1.03,0.688359196813977,10,0.1,0.301511344577764,0,0,0,0,0,0,113,1.13,0.441645225322889,55,0.55,0.5
0.8,0,0.9,4,0.9,0.2,0,100,84,1.09,0.766666666666666,14,0.14,0.348735088019777,0,0,0,0,0,0,102,1.02,0.14070529413629,54,0.54,0.500908265962033
0.9,0,0.9,4,0.9,0.2,0,100,90,0.97,0.413289342722602,17,0.17,0.377525168068637,0,0,0,0,0,0,104,1.04,0.242878362539562,53,0.53,0.501613558046592
1,0,0.9,4,0.9,0.2,0,100,89,0.89,0.31446603773522,18,0.18,0.386122919665369,0,0,0,0,0,0,100,1,0,53,0.53,0.501613558046592
